Name,Stage,Address,Zip Code
Bloc Haven,Invoice Sent - Closed,"701 Easley Bridge Rd Unit 6020, Greenville, SC 29611 ",
Cayuga Climbs,Invoice Sent - Closed,"53 Hall Rd Suite A Ithaca, NY USA 14850",
Method Climbing,Invoice Sent - Closed,"16 Lombardy St, Newark, NJ 07102",
GP81,Invoice Sent - Closed,"81 Quay St. Brooklyn, NY USA 11222",
Kinetic Climbing,Invoice Sent - Closed,"1155 S Black Horse Pike, Williamstown, NJ 08094",
The Rock Gym - Rexburg,Invoice Sent - Closed,"871 Jet Stream Dr. Rexburg, ID US",
318 Climb,Invoice Sent - Closed,"9924 Beaver Creek Dr., Shreveport, LA 71106",
Gemstone Climbing Center,Invoice Sent - Closed,"135 5th Ave S. Twin Falls, ID 83301, USA",
Roca Climbing & Fitness SP1356,Invoice Sent - Closed,"6071 Rome Cir NW, Rochester, MN 55901",
Mesa Rim (Mira Mesa),Invoice Sent - Closed,"10110 Mesa Rim Road San Diego, CA US",
Ascent Studio Climbing & Fitness,Invoice Sent - Closed,"2150 Joseph Allen Dr, Fort Collins, CO 80525",
Black Rock Bouldering Gym,Invoice Sent - Closed,"10436 N 32nd St, Phoenix, AZ 85028",
Bend Rock Gym,Invoice Sent - Closed,"1182 SE Centennial Ct. Bend, OR US",
The Climbing Center (River Sports),Unresponsive - Email Remarketing ,"2918 Sutherland Ave, Knoxville, TN 37919",
The Gravity Vault (Radnor),Unresponsive - Email Remarketing ,"175 King of Prussia Rd, Radnor, PA 19087",
The Cliffs (LIC),Unresponsive - Email Remarketing ,"11-11 44th Dr, Queens, NY 11101",
Multnomah Athletic Club,Unresponsive - Email Remarketing ,"1849 SW Salmon St, Portland, OR 97205",
The Gravity Vault (Middletown),Unresponsive - Email Remarketing ,"37 Kanes Ln. Middletown Township, NJ US",
Central Rock (Waltham),Unresponsive - Email Remarketing ,"411 Waverley Oaks Rd. Waltham, MA 02452",
Crimper's Climbing Gym,Unresponsive - Email Remarketing ,"100 Central Ave, Christiansburg, VA 24073",
North Mass Boulder,Unresponsive - Email Remarketing ,"1411 Roosevelt Ave. Indianapolis, IN US 46201",
Central Rock (Watertown),Unresponsive - Email Remarketing ,"74 Acton Street Watertown, MA 02472",
The Cliffs (Dumbo),Unresponsive - Email Remarketing ,"99 Plymouth St., Brooklyn, NY 11201",
Bloc Yard Bouldering Gym,Unresponsive - Email Remarketing ,"233 E Lyons Ave Spokane, WA US",
Evo Rock & Fitness Portland,Unresponsive - Email Remarketing ,"65 Warren Ave, Portland, ME 04103",
Brevard Rock Gym,Unresponsive - Email Remarketing ,"240 S Broad St UNIT B, Brevard, NC 28712",
MetroRock (Littleton),Unresponsive - Email Remarketing ,"1200 Constitution Ave. Littleton, MA  01460 USA",
Upper Limits Indoor Rock Climbing Gym (Maryland Heights),Unresponsive - Email Remarketing ,"1874 Lackland Hill Pkwy, St. Louis, MO 63146",
The Commons Climbing Gym,Unresponsive - Email Remarketing ,"4795 W Emerald St, Boise, ID 83706",
Steepworld Climbing & Fitness,Unresponsive - Email Remarketing ,"1230 S 31st St W Billings, MT 59102 US",
"ROKC Climbing, Yoga, and Fitness Gym (3 gyms)",Lost - Not Interested,"1501 Howell St. North Kansas City, MO US",
The Cliffs (Harlem),Lost - Not Interested,"256 W 125th St, New York, NY 10027",
Vertical Dreams - Manchester,Lost - Not Interested,"250 Commercial St, Manchester, NH 03101",
Mosaic Climbing,Lost - Not Interested,"9501 Union Cemetery Rd, Loveland, OH 45140",
High Point Climbing and Fitness (Cleveland),Lost - Not Interested,"2499 Keith St NW, Cleveland, TN 37311",
Central Rock (Rochester),Lost - Not Interested,"725 Averill Ave Rochester, NY 14607",
Climberz,Lost - Not Interested,"1207 N Carla Ave, Tea, SD 57064",
Central Rock (Worcester),Lost - Not Interested,"299 Barber Avenue Worcester, MA 01606",
Kendall Cliffs Climbing Gym,Lost - Not Interested,"60 Kendall Park Rd suite b, Peninsula, OH 44264",
Wild Walls Climbing Gym,Lost - Not Interested,"202 W 2nd Ave, Spokane, WA 99201, USA",
Nosotros Rock Climbing Gym,Lost - Not Interested,"14321 Detroit Ave Lakewood, OH US",
Canyons Climbing Gym,Lost - Not Interested,"7164 Technology Drive, Frisco, Texas 75033, USA",
The Climbing Wall (CLOSED),Lost - Not Interested,"7501 Penn Ave #6 Pittsburgh, PA US",
Central Rock (Boston),Lost - Not Interested,"99 Beverly St. Boston, MA 02114",
Coastal Climbing,Lost - Not Interested,"708 King St. Charleston, SC 29403",
Central Rock (Randolph),Lost - Not Interested,"445 High Street Randolph, MA 02368",
The District Bouldering,Lost - Not Interested,"2424 Broadway San Antonio, TX US",
Planet Rock,Lost - Not Interested,"82 Aprill Dr C, Ann Arbor, MI 48103",
Philadelphia Rock Gym (Wyncote) See east falls,Lost - Not Interested,"827 Glenside Avenue #200 Wyncote, Pennsylvania, PA US",
Escalade Rock Climbing (PTC),Lost - Not Interested,"125 Depot Ct, Peachtree City, GA 30269",
Escalade Rock Climbing Gym (Kennesaw),Lost - Not Interested,"3694 Kennesaw S Industrial Dr NW, Kennesaw, GA 30144",
Weatherford's,Lost - Not Interested,"3009 E Cervantes St. Pensacola, FL USA",
North Summit Climbing Gym,Lost - Not Interested,"481 Bushkill Plaza Ln #9665 Wind Gap, PA US",
Longmont Climbing Collective,Lost - Not Interested,"33 S Pratt Pkwy Longmont, CO USA",
FirstHand Climbing,Lost - Not Interested,"1024 N Chestnut St. Winston-Salem, NC USA 27101",
High Point Climbing and Fitness (3 Chattanooga gyms),Lost - Not Interested,"219 Broad St, Chattanooga, TN 37402",
Philadelphia Rock Gyms (Fishtown) See east falls,Lost - Not Interested,"2412 E York St. Philadelphia, PA US",
Philadelphia Rock Gym (Oaks) See east falls,Lost - Not Interested,"122 Mill Road, 520 E-520 E, Oaks, PA 19456 Oaks, PA US",
Philadelphia Rock Gyms (Malvern) See east falls,Lost - Not Interested,"57 Lancaster Ave, Malvern, PA 19355 Malvern, PA US",
The Front Climbing Club (Salt Lake City - 3 locations),Lost - Not Interested,"1470 400 W, Salt Lake City, UT 84115",
Jeremy Garber - Disc Golf,Lost - Not Interested,"3929 E. Hooppole Ridge Road 
Mcconnelsville, OH. 43756.",
Adventure Rock (3 gyms),Lost - Not Interested,"21250 W Capitol Dr, Brookfield, WI 53072",
Summit Strength & Fitness,Lost - Not Interested,"3118 Kingsley Way, Madison, WI 53713",
Momentum (Lehi),Lost - Not Interested,"401 S 850 E Lehi, UT US",
Peak Experiences (Two Gyms),Lost - Not Interested,"1375 Overbrook Rd. Richmond, VA US",
State Climb,Lost - Not Interested,"115 E Locust St, Culpeper, VA 22701",
Source Climbing Center,Lost - Not Interested,"1118 Main St. Vancouver, WA 98660 US",
Uplift Climbing,Lost - Not Interested,"17229 15th Ave NE Shoreline, WA 98155 US",
Frontier Climbing and Fitness,Lost - Not Interested,"5045 Grant St, Sioux Falls, SD 57110",
Climb Tacoma,Lost - Not Interested,"102 S 24th St. Tacoma, WA US 98402

",
Armadillo Boulders (2 gyms),Lost - Not Interested,"1119 Camden St. San Antonio,, TX US",
Cirque Climbing,Lost - Not Interested,"8276 28th Ct NE. Lacey, WA US",
Rocky Top Climbing,Lost - Not Interested,"1729 Allied St, Charlottesville, VA 22903",
Edgeworks Climbing,Lost - Not Interested,"6102 North 9th Street, Suite 200 Tacoma, WA US",
The Climb (2 Gyms-Nashvillewest/NashvilleEast),Lost - Not Interested,"1900 Eastland Ave #104, Nashville, TN 37206",
Bouldering Project (Austin 2 gyms Springdale Westgate),Lost - Not Interested,"979 Springdale Road #300 Austin, TX US",
Bouldering Project (Seattle Poplar),Lost - Not Interested,"900 Poplar Pl S. Seattle, WA 98144 US",
Momentum Climbing (Houston),Lost - Not Interested,"25410 Katy Mills Pkwy Katy, TX US",
"Gritstone Climbing + Fitness, LLC",Lost - Not Interested,"1901 Eljadid St Suite 101, Morgantown, WV 26505",
Momentum Indoor climbing (2 gyms UT),Lost - Not Interested,"3173 E 3300 S Salt Lake City, UT US",
Momentum Indoor Climbing (SODO),Lost - Not Interested,"2759 1st Ave S. Seattle, WA 98134 US",
The Climb (Murfreesboro),Lost - Not Interested,"1660 Memorial Blvd. Murfreesboro, TN US",
The Goat Fort - Indoor Climbing,Lost - Not Interested,"20 Clark St Suite C Warren, PA 16365",
Elevation Bouldering Gym,Lost - Not Interested,"348 Lincoln St. Eugene, OR US",
Gravity Vault Indoor Rock Gyms,Lost - Not Interested,"6 Neptune Rd, Poughkeepsie, NY 12601",
The Gravity Vault (Montclair),Lost - Not Interested,"8 Seymour St. Montclair, NJ US",
The Gravity Vault (melville),Lost - Not Interested,"40 Melville Park Rd. Melville, NY USA",
Chakstone Climbing,Lost - Not Interested,"102 S Main St. Wilkes-Barre,, PA US",
Philadelphia Rock Gym (5 Locations - East Falls),Lost - Not Interested,"B, 3500 Scotts Ln #3 Philadelphia, PA US",
Vertical eXcape - Bowling Green,Lost - Not Interested,"121 Flex Park Ln Suite #2 Bowling Green, KY US 42101",
Stonetree Climbing Center,Lost - Not Interested,"1222 Bozeman Ave. Helena, MT US",
Spire Climbing Center,Lost - Not Interested,"13 Enterprise Boulevard Bozeman, MT US",
Rock Spot (6 Gyms),Lost - Not Interested,"67 Sprague St, Boston Boston, MA USA",
The Hi-Line Climbing Center,Lost - Not Interested,"608 1st Ave S. Great Falls, MT 59401 US",
LEF Climbing,Lost - Not Interested,"916 N Broadway Lexington, KY US 40505",
ELEV8 Climbing and Fitness,Lost - Not Interested,"777 Boyd Ave, Traverse City, MI 49686",
DynoClimb,Lost - Not Interested,"528 S Woodland Blvd, DeLand, FL 32720",
Alchemy Climbing,Lost - Not Interested,"2810 Sharer Rd, Tallahassee, FL 32312",
Pacific Edge Climbing Gym,Lost - Not Interested,"104 Bronson St #12, Santa Cruz, CA 95062",
far north climbing gym,Lost - Not Interested,"1065 K St C Arcata, CA US",
Gripstone Climbing & Fitness,Lost - Not Interested,"6220 Tutt Blvd. Colorado Springs, CO USA",
Rock Climb Fairfield,Lost - Not Interested,"85 Mill Plain Rd building t, Fairfield, CT 06824",
Rocks and Ropes (All gyms),Lost - Not Interested,"330 S. Toole Avenue #400 Tucson, AZ US",
Eagle Climbing + Fitness,Lost - Not Interested,"700 Chambers Ave. Unit A7 Eagle, Colorado 81631",
Rockzilla,Lost - Not Interested,"849 Jackson Street #5A Napa, CA US",
Daytona Climbing Company,Lost - Not Interested,"3100 S Ridgewood Ave. South Daytona, FL USA",
Beaches Rock Gym,Lost - Not Interested,"14 W 3rd St. Atlantic Beach, FL USA",
"High Point Climbing and Fitness (Downtown, Chattanooga)",Lost - Not Interested,"219 Broad St, Chattanooga, TN 37402",
